ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
86066591,Женщина,39,Город с численностью от 50 тысяч до 100 тысяч,Высшее,15-20 лет,1-3 года,Другое,До 50 человек,Финансовый менеджер,100,100 000 — 150 000,Нет,11.554365104375291,21.20893854280128,21.200828261912577,21,20,12,19,12,11,19,18,8,14,21,12,12,37,31,17
86066523,Женщина,47,Город с численностью жителей миллион и более человек,Высшее,20 + лет,3-5 лет,Другое,До 50 человек,самозанятый фрилансер в сфере видеосъемки и монтажа,0,0 — 15 000,Нет,12.428451236024312,20.860952639223736,19.671346683164565,18,15,7,13,5,6,10,12,11,11,22,5,7,20,29,23
86066181,Женщина,27,Санкт-Петербург,Неоконченное высшее,5-10 лет,3-5 лет,"Продажи, закупки;",1000+ человек,Продавец-кассир,30,30 000 — 60 000,Нет,11.48857564413802,24.20893854280128,19.606348324537258,15,12,6,15,11,13,9,16,10,12,11,6,12,37,25,17
86065847,Женщина,54,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,10-15 лет,Образование;,До 50 человек,воспитатель,80,15 000 — 30 000,Нет,10.939875591886294,19.151898740060236,10.170854271356783,12,12,6,12,5,8,6,7,7,11,15,7,11,17,17,23
86064683,Женщина,36,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,5-10 лет,Обслуживание;,До 500 человек,Дизайнер,60000,30 000 — 60 000,Нет,24.77311690703506,15.75341188358055,27.253756218277317,21,10,9,15,11,10,13,10,14,14,20,5,5,29,35,26
86064589,Женщина,31,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,1-3 года,Торговля;,1000+ человек,Бухгалтер,50000,30 000 — 60 000,Нет,20.941449515476446,18.85076367982335,23.671346683164565,19,14,9,13,10,14,12,14,13,15,16,12,13,29,23,21
86064207,Мужчина,30,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,5-10 лет,Медицина;,До 500 человек,врач,15,60 000 — 100 000,Затрудняюсь ответить,9.416620657574382,22.630296177005345,25.78323779702533,15,11,6,11,11,12,5,9,4,7,20,9,13,30,26,21
86064106,Женщина,43,Москва,Высшее,20 + лет,1-3 года,"Финансы, бухгалтерия, банки;",До 50 человек,бухгалтер,100,60 000 — 100 000,Да,14.62763301031763,13.833679167315019,21.141865104416553,15,16,9,15,12,8,8,14,3,7,20,8,8,36,29,18
86063888,Мужчина,32,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,5-10 лет,1-3 года,Другое,До 50 человек,Старший программист,100,100 000 — 150 000,Нет,15.554365104375291,16.502777776245804,22.088937148051816,23,15,9,17,4,4,15,19,12,15,23,6,7,29,33,19
86062736,Женщина,26,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,5-10 лет,Другое,До 500 человек,Системный администратор,90,30 000 — 60 000,Затрудняюсь ответить,15.531255388439881,23.419617359903313,16.55342036817252,9,18,8,17,8,7,4,15,5,12,15,22,11,30,22,11
