ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65977703,Мужчина,35,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),10-15 лет,3-5 лет,Производство;,До 50 человек,бригадир,50,30 000 — 60 000,Да,25.468158141317605,28.675897604566817,14.827707836106192,20,19,7,14,12,11,11,16,11,13,24
65977657,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,3-5 лет,3-5 лет,Обслуживание;,1000+ человек,оператор связи 1 коасса,80,15 000 — 30 000,Да,30.501552714449367,32.51012967768868,14.884182331138884,9,15,9,12,16,14,7,11,7,14,23
65977546,Мужчина,37,Город с численностью менее 50 тысяч,Высшее,15-20 лет,3-5 лет,Производство;,До 50 человек,Электромонтер,100,15 000 — 30 000,Нет,26.1441880409566,23.03073973016094,16.827707836106192,16,16,5,12,9,11,14,19,15,15,25
65977514,Женщина,37,Москва,Два и более высших и/или научная степень,5-10 лет,1-3 года,Образование;,До 500 человек,инженер,100,100 000 — 150 000,Да,22.670803438173422,25.769084906852505,13.928450445045524,11,14,9,12,10,9,17,16,14,14,19
65977503,Женщина,41,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,5-10 лет,Архивная деятельность,До 500 человек,Документовед,100,15 000 — 30 000,Да,15.75685954460126,27.83201247235429,13.11772928179813,18,19,11,19,10,14,7,16,12,13,14
65977400,Женщина,40,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,10-15 лет,3-5 лет,"Финансы, бухгалтерия, банки;",До 500 человек,старший менеджер- операционист,50,30 000 — 60 000,Да,17.603610118904722,14.416170879815324,11.268843195207127,14,14,6,14,8,9,14,16,9,10,16
65977277,Женщина,40,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,15-20 лет,5-10 лет,Производство;,До 500 человек,проект менеджер,1000,100 000 — 150 000,Нет,27.93280711961682,26.843015328517257,16.827707836106192,20,16,9,15,11,15,20,19,15,15,25
65977145,Мужчина,29,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),0-1 года,0-1 года,Производство;,До 500 человек,грузчик,45,30 000 — 60 000,Да,28.924314557128927,28.788099522823195,19.632325808790558,16,18,8,16,7,5,11,13,11,15,19
65977072,Женщина,28,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,3-5 лет,0-1 года,Красота и здоровье;,До 500 человек,менеджер по связям с общественностью,15,15 000 — 30 000,Затрудняюсь ответить,22.77490005470675,21.008783255395393,13.40775072749007,16,15,5,19,5,6,5,11,9,11,16
65977025,Женщина,44,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,15-20 лет,10-15 лет,консалтинговые услуги,1000+ человек,начальник архивного отдела,30,60 000 — 100 000,Да,28.13569547846871,30.45521387199462,19.632325808790558,18,20,10,20,14,9,8,5,5,10,18
65976981,Женщина,31,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,5-10 лет,Обслуживание;,До 50 человек,Директор,18000,30 000 — 60 000,Нет,30.501552714449367,30.7388251700686,16.783439722199553,16,16,8,14,12,9,19,19,14,13,25
65976890,Мужчина,54,Москва,Высшее,20 + лет,20 + лет,Образование;,1000+ человек,преподаватель,85,60 000 — 100 000,Затрудняюсь ответить,26.1441880409566,24.008783255395393,17.827707836106192,19,15,5,16,10,10,12,16,10,15,19
65976839,Женщина,32,Поселок городского типа,Неоконченное высшее,10-15 лет,1-3 года,"Продажи, закупки;",До 50 человек,упровляющая,50,15 000 — 30 000,Да,27.028168111666186,26.73081341026088,17.77733653163653,15,12,6,11,9,10,8,10,10,9,16
65976783,Женщина,53,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),15-20 лет,10-15 лет,Образование;,До 50 человек,Заведующий хозяйством,13000,0 — 15 000,Нет,19.16868190147201,24.841665531444953,14.972718558952163,12,11,8,10,8,7,8,13,9,15,22
65976620,Женщина,39,Село,Высшее,10-15 лет,5-10 лет,Медицина;,До 500 человек,медсестра,13000,15 000 — 30 000,Да,21.786823367463835,21.8938817429944,14.023089863421827,13,11,6,12,6,9,5,6,4,5,7
65976451,Женщина,37,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,10-15 лет,Медицина;,1000+ человек,статистик,50,15 000 — 30 000,Нет,27.9822029907761,30.508779880616373,19.632325808790558,16,13,4,10,11,12,12,15,15,15,25
