ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65973381,Мужчина,48,Санкт-Петербург,Высшее,20 + лет,10-15 лет,Обслуживание;,До 50 человек,Руководитель,50,60 000 — 100 000,Нет,34,29,7,22,19,9,20,10,7,10,14,7,7,25
65973235,Женщина,35,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,0-1 года,Красота и здоровье;,До 50 человек,мастер маникюра,0,15 000 — 30 000,Затрудняюсь ответить,10,21,3,11,13,4,10,8,10,15,19,15,15,24
65973169,Женщина,31,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,1-3 года,Медицина;,1000+ человек,главный специалист,100,30 000 — 60 000,Нет,17,23,14,18,13,10,12,9,7,12,14,9,15,18
65972921,Мужчина,52,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,20 + лет,20 + лет,Торговля;,До 50 человек,Владелец бизнеса,99,60 000 — 100 000,Нет,28,32,14,13,18,9,17,11,8,20,20,13,14,20
65972829,Женщина,32,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,5-10 лет,Торговля;,До 500 человек,территориальный менеджер,100,30 000 — 60 000,Да,25,25,15,17,14,8,15,10,8,17,16,15,15,24
65972753,Мужчина,34,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),10-15 лет,5-10 лет,"Культура, искусство",До 500 человек,Гардеробщик,100,15 000 — 30 000,Да,11,23,9,16,16,9,17,7,7,20,15,9,10,15
65972685,Женщина,31,Город с численностью жителей миллион и более человек,Неоконченное высшее,5-10 лет,3-5 лет,Производство;,1000+ человек,Полировщик,40000,30 000 — 60 000,Нет,35,35,21,22,13,9,16,11,10,20,17,9,15,22
65972524,Женщина,30,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,1-3 года,"Продажи, закупки;",До 50 человек,менеджер,50,30 000 — 60 000,Затрудняюсь ответить,26,26,18,18,12,9,15,6,7,16,16,12,12,21
65972497,Женщина,29,Москва,Высшее,10-15 лет,0-1 года,"Финансы, бухгалтерия, банки;",До 500 человек,менеджер по обслуживанию клиентов,70,30 000 — 60 000,Да,29,26,12,18,14,10,14,11,13,17,17,12,15,22
65972489,Женщина,49,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,20 + лет,Образование;,До 500 человек,Преподаватель,90,60 000 — 100 000,Нет,27,27,18,12,15,9,12,9,8,14,16,12,13,22
65972479,Женщина,48,Москва,Высшее,20 + лет,15-20 лет,"Финансы, бухгалтерия, банки;",До 50 человек,главный бухгалтер,100,60 000 — 100 000,Нет,7,19,4,18,15,6,15,12,9,17,19,10,15,11
65972469,Женщина,31,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),5-10 лет,3-5 лет,Обслуживание;,До 50 человек,менеджер,90,15 000 — 30 000,Да,24,18,15,20,14,9,11,9,11,12,12,6,11,13
65972461,Женщина,29,Санкт-Петербург,Высшее,5-10 лет,5-10 лет,Транспорт;,1000+ человек,ведущий специалист,43000,60 000 — 100 000,Затрудняюсь ответить,24,27,19,13,14,8,15,10,8,13,13,12,13,17
65972453,Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,1-3 года,Медицина;,1000+ человек,специалист по кадрам,30,30 000 — 60 000,Нет,29,26,19,11,18,12,14,11,4,16,15,8,7,19
65972445,Мужчина,45,Город с численностью жителей миллион и более человек,Неоконченное высшее,20 + лет,5-10 лет,Производство;,До 1000 человек,замдиректора по производству,70,60 000 — 100 000,Нет,28,20,20,14,11,6,10,9,8,12,17,11,9,17
65954185,Мужчина,41,Москва,Два и более высших и/или научная степень,20 + лет,15-20 лет,Образование;,1000+ человек,доцент,20,150 000 — 200 000,Нет,33,26,21,13,15,8,13,11,9,9,16,11,15,25
